model,vectorizer,task,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cv_f1_mean,cv_f1_std,auc_macro,training_time
Logistic_Regression,TF-IDF,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.26814417695065346,0.004717074662075574,0.47087249955818167,0.014622688293457031
Random_Forest,TF-IDF,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.23020124753100568,0.017826963557053113,0.4697681490913834,0.08254003524780273
Gradient_Boosting,TF-IDF,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.2579701698367001,0.011780044507801894,0.47087249955818167,0.2171344757080078
Naive_Bayes,TF-IDF,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.23975749705486674,0.018861247860874977,0.4772247445982095,0.0015735626220703125
SVM,TF-IDF,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.26814417695065346,0.004717074662075574,0.49565208169579,0.08764815330505371
Neural_Network,TF-IDF,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.26814417695065346,0.004717074662075574,0.47087249955818167,0.051946163177490234
SGD,TF-IDF,Threat Classification,0.2590909090909091,0.19538177595288458,0.26944167497507476,0.20709638666821678,0.2023264264714202,0.2009764488791348,0.008958048285876376,0.0,0.011718988418579102
Logistic_Regression,Count,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.26814417695065346,0.004717074662075574,0.47087249955818167,0.0036754608154296875
Random_Forest,Count,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.23020124753100568,0.017826963557053113,0.4697681490913834,0.0726926326751709
Gradient_Boosting,Count,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.2579701698367001,0.011780044507801894,0.47087249955818167,0.18858623504638672
Naive_Bayes,Count,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.23975749705486674,0.018861247860874977,0.46277634991676814,0.0014045238494873047
SVM,Count,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.26814417695065346,0.004717074662075574,0.49565208169579,0.08288049697875977
Neural_Network,Count,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.2519418715778254,0.012942614201961782,0.46547744212692516,0.044228553771972656
SGD,Count,Threat Classification,0.2590909090909091,0.1891568968012737,0.2601362578929877,0.21593945433799844,0.21366846680768425,0.2098191078104424,0.030623568347031047,0.0,0.0073316097259521484
Logistic_Regression,TF-IDF_Ngrams,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.26814417695065346,0.004717074662075574,0.47087249955818167,0.00446009635925293
Random_Forest,TF-IDF_Ngrams,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.23020124753100568,0.017826963557053113,0.4697681490913834,0.07849478721618652
Gradient_Boosting,TF-IDF_Ngrams,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.2579701698367001,0.011780044507801894,0.47087249955818167,0.22475433349609375
Naive_Bayes,TF-IDF_Ngrams,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.23975749705486674,0.018861247860874977,0.471829687166953,0.001546621322631836
SVM,TF-IDF_Ngrams,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.26814417695065346,0.004717074662075574,0.49565208169579,0.13141441345214844
Neural_Network,TF-IDF_Ngrams,Threat Classification,0.2409090909090909,0.17500962772785622,0.2298936523762047,0.19367926783612013,0.2012277498278788,0.2519418715778254,0.012942614201961782,0.47087249955818167,0.04245114326477051
SGD,TF-IDF_Ngrams,Threat Classification,0.22272727272727272,0.1664270584081905,0.23487869724160848,0.17946947159654342,0.17247775245012814,0.20070571375651078,0.011975168493552277,0.0,0.008547067642211914
Enhanced_Ensemble,Custom_Features_TF-IDF,Threat Classification,0.20909090909090908,0.15498903657183077,0.2135260884014623,0.17808318089920094,0.1744160095223925,0.0,0.0,0.475426392121124,3.371080160140991
Logistic_Regression,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.007112026214599609
Random_Forest,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4942933637095809,0.07340550422668457
Gradient_Boosting,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.18677306175231934
Naive_Bayes,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.48913672210557085,0.0013937950134277344
SVM,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.488087099441187,0.07116842269897461
Neural_Network,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.05252218246459961
SGD,TF-IDF,Severity Prediction,0.34545454545454546,0.16907310596630987,0.2731549364613881,0.204421768707483,0.2759616573902288,0.2598268064474267,0.02668323243861367,0.0,0.007449626922607422
Logistic_Regression,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.011711359024047852
Random_Forest,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4942933637095809,0.08287763595581055
Gradient_Boosting,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.18163394927978516
Naive_Bayes,Count,Severity Prediction,0.36363636363636365,0.14874025533837984,0.25007074136955293,0.18598901098901097,0.26503996003996005,0.2695095351307701,0.011985115932141433,0.4943263787701803,0.0014951229095458984
SVM,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4892187725389912,0.07017111778259277
Neural_Network,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4943263787701803,0.04267239570617676
